player,nfl_team,current_adp,planning_adp,situation_score,breakout_score,competition_score,depth_role,rz20Role,rz10Role,rz5Role,historicalOwnRoleDelta,historicalGoalLineCompetition,goalLineCompetition,topHistoricalCompetitor2026Team,topCompetitorStillTeammate,qbGoalLineShare,teHybridGoalLineShare,shortYardageSpecialist,teamScoringEnvironment,roleChangeDirection,roleChangeMagnitude,confidence,currentSystemContext,evidenceSummary,situation_summary
Kenneth Walker,KC,22.200000,19.9,80,,80,RB1,0.354167,0.217391,0.285714,-0.142857,0.678571,,SEA,False,0.000000,0.035714,1.000000,2.588235,SYSTEM_CHANGED,,LOW,Moved from Seattle to Kansas City; prior Seahawks shares and Zach Charbonnet competition are not projected onto the new system.,2025 retrospective all-rusher shares i20/i10/i5=0.35/0.22/0.29; top i5 teammate Zach Charbonnet (RB) 0.68; team/system changed; current competitor continuity=no/unknown,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Omarion Hampton,LAC,23.200000,15.5,86,88,80,RB1,0.351351,0.428571,0.380952,,0.333333,0.333333,LAC,True,0.190476,0.000000,1.000000,2.117647,NEW_ROLE,,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.35/0.43/0.38; top i5 teammate Kimani Vidal (RB) 0.33; same team; current competitor continuity=yes,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Jeremiyah Love,ARI,27.900000,29,66,,80,RB1,,,,,,,UNKNOWN,False,,,,,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,No 2025 NFL rushing-role evidence,"RB1. Ankle; Questionable for Week 1 at L.A. Chargers; CBS updated Thu, Aug 13; NFFC Return Date 8/22/2026 is non-publication metadata. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Josh Jacobs,GB,30.900000,31.4,70,,80,RB1,0.553191,0.666667,0.740741,0.013468,0.148148,,SEA,False,0.111111,0.000000,0.000000,2.588235,STABLE,0.013468,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.55/0.67/0.74; top i5 teammate Emanuel Wilson (RB) 0.15; same team; current competitor continuity=no/unknown,"RB1. Groin; Questionable for Week 1 at Minnesota; CBS updated Tue, Aug 11; NFFC Return Date 8/21/2026 is non-publication metadata. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Kyren Williams,LAR,31.500000,30,88,,80,RB1,0.616279,0.588235,0.562500,-0.151786,0.406250,0.406250,LAR,True,0.031250,0.000000,1.000000,3.705882,DECLINING,-0.151786,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.62/0.59/0.56; top i5 teammate Blake Corum (RB) 0.41; same team; current competitor continuity=yes,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Breece Hall,NYJ,34.600000,32.5,69,,80,RB1,0.380952,0.357143,0.333333,-0.512821,0.416667,,UNKNOWN,False,0.416667,0.000000,1.000000,1.529412,PROJECTED_RELIEF,0.416667,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.38/0.36/0.33; top i5 teammate Justin Fields (QB) 0.42; same team; current competitor continuity=no/unknown,"RB1. Groin injury remains listed as questionable for Week 1; uncertainty is preserved. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Cam Skattebo,NYG,36.400000,41,77,72,80,RB1,0.244898,0.250000,0.322581,,0.322581,0.322581,NYG,True,0.290323,0.000000,1.000000,2.529412,NEW_ROLE,,MEDIUM,"Giants official camp report: returned and good to go; Matt Nagy is the 2026 OC. Preseason role reporting remained uncertain, so no current goal-line share is asserted.",2025 retrospective all-rusher shares i20/i10/i5=0.24/0.25/0.32; top i5 teammate Devin Singletary (RB) 0.32; same team; current competitor continuity=yes,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Javonte Williams,DAL,36.700000,36.2,81,,80,RB1,0.627907,0.622222,0.666667,0.250000,0.166667,0.166667,DAL,True,0.166667,0.000000,0.000000,2.882353,RISING,0.250000,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.63/0.62/0.67; top i5 teammate Dak Prescott (QB) 0.13; same team; current competitor continuity=yes,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Travis Etienne Jr.,NO,40.700000,41.4,78,,80,RB1,0.469565,0.472727,0.352941,0.125668,0.382353,,JAX,False,0.323529,0.058824,1.000000,3.000000,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.47/0.47/0.35; top i5 teammate Trevor Lawrence (QB) 0.32; team/system changed; current competitor continuity=no/unknown,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Bucky Irving,TB,45.300000,45.8,85,,80,RB1,0.272727,0.187500,0.000000,-0.500000,0.500000,0.500000,TB,True,0.045455,0.045455,1.000000,2.294118,DECLINING,-0.500000,LOW_MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.27/0.19/0.00; top i5 teammate Sean Tucker (RB) 0.50; same team; current competitor continuity=yes,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
D'Andre Swift,CHI,45.800000,51,86,,80,RB1,0.408163,0.444444,0.500000,0.083333,0.428571,0.428571,CHI,True,0.071429,0.000000,1.000000,2.764706,STABLE,0.083333,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.41/0.44/0.50; top i5 teammate Kyle Monangai (RB) 0.43; same team; current competitor continuity=yes,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Quinshon Judkins,CLE,50.900000,51.1,60,75,80,RB1,0.540984,0.542857,0.500000,,0.208333,,UNKNOWN,False,0.041667,0.083333,0.000000,1.529412,PROJECTED_RELIEF,0.208333,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.54/0.54/0.50; top i5 teammate Raheim Sanders (RB) 0.17; same team; current competitor continuity=no/unknown,"RB1. Undisclosed; Questionable for Week 1 at Jacksonville; CBS updated Sat, Aug 22; NFFC Return Date 8/27/2026 is non-publication metadata. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Bhayshul Tuten,JAX,52.900000,59,80,65,80,RB1,0.226087,0.163636,0.235294,,0.382353,,NO,False,0.323529,0.058824,1.000000,3.000000,PROJECTED_RELIEF,0.382353,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.23/0.16/0.24; top i5 teammate Travis Etienne (RB) 0.35; same team; current competitor continuity=no/unknown,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
David Montgomery,HOU,58.400000,51.4,72,,80,RB1,0.388889,0.510204,0.629630,0.168091,0.370370,,DET,False,0.000000,0.000000,1.000000,3.294118,SYSTEM_CHANGED,,LOW,Moved from Detroit to Houston; prior Lions shares are descriptive only and are not projected onto the new system.,2025 retrospective all-rusher shares i20/i10/i5=0.39/0.51/0.63; top i5 teammate Jahmyr Gibbs (RB) 0.37; team/system changed; current competitor continuity=no/unknown,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Jaylen Warren,PIT,59.000000,67,76,,80,RB1,0.500000,0.478261,0.482759,0.328912,0.310345,,TB,False,0.068966,0.137931,1.000000,2.470588,PROJECTED_RELIEF,0.310345,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.50/0.48/0.48; top i5 teammate Kenneth Gainwell (RB) 0.31; same team; current competitor continuity=no/unknown,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
TreVeyon Henderson,NE,60.700000,53,72,,63,RB2,0.395604,0.375000,0.275862,,0.413793,0.413793,NE,True,0.137931,0.000000,1.000000,3.117647,NEW_ROLE,,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.40/0.38/0.28; top i5 teammate Rhamondre Stevenson (RB) 0.41; same team; current competitor continuity=yes,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Tony Pollard,TEN,68.400000,77,70,,80,RB1,0.452381,0.461538,0.363636,-0.181818,0.272727,,UNKNOWN,False,0.090909,0.181818,0.000000,1.411765,PROJECTED_RELIEF,0.272727,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.45/0.46/0.36; top i5 teammate Julius Chestnut (RB) 0.18; same team; current competitor continuity=no/unknown,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Rhamondre Stevenson,NE,68.900000,79,82,,80,RB1,0.296703,0.303571,0.413793,-0.217786,0.275862,0.275862,NE,True,0.137931,0.000000,1.000000,3.117647,DECLINING,-0.217786,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.30/0.30/0.41; top i5 teammate TreVeyon Henderson (RB) 0.28; same team; current competitor continuity=yes,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Rico Dowdle,PIT,74.900000,82,65,,63,RB2,0.514706,0.466667,0.642857,0.309524,0.142857,,CAR,False,0.142857,0.000000,0.000000,1.941176,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.51/0.47/0.64; top i5 teammate Bryce Young (QB) 0.14; team/system changed; current competitor continuity=no/unknown,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Chuba Hubbard,CAR,78.500000,77.8,72,,80,RB1,0.279412,0.266667,0.142857,-0.615764,0.642857,,PIT,False,0.142857,0.000000,1.000000,1.941176,PROJECTED_RELIEF,0.642857,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.28/0.27/0.14; top i5 teammate Rico Dowdle (RB) 0.64; same team; current competitor continuity=no/unknown,"RB1. Hamstring; Questionable for Week 1 vs. Chicago; CBS updated Thu, Aug 13; NFFC Return Date 9/13/2026 is non-publication metadata. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Jadarian Price,SEA,79.100000,69.7,75,,72,RB2_PUP_STARTER_PATH,,,,,,,UNKNOWN,False,,,,,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,No 2025 NFL rushing-role evidence,"RB2_PUP_STARTER_PATH. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
RJ Harvey,DEN,86.000000,79.9,76,,63,RB2,0.391892,0.416667,0.476190,,0.333333,0.333333,DEN,True,0.047619,0.000000,1.000000,2.529412,NEW_ROLE,,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.39/0.42/0.48; top i5 teammate J.K. Dobbins (RB) 0.33; same team; current competitor continuity=yes,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Kenny Gainwell,,91.000000,,,,,,,,,,,,UNKNOWN,False,,,,,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,No 2025 NFL rushing-role evidence,
J.K. Dobbins,DEN,91.500000,92.6,87,,80,RB1,0.270270,0.305556,0.333333,0.011905,0.476190,0.476190,DEN,True,0.047619,0.000000,1.000000,2.529412,STABLE,0.011905,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.27/0.31/0.33; top i5 teammate RJ Harvey (RB) 0.48; same team; current competitor continuity=yes,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Aaron Jones Sr.,MIN,101.600000,111.9,78,,80,RB1,0.241379,0.250000,0.200000,-0.450000,0.466667,0.466667,MIN,True,0.066667,0.000000,1.000000,1.941176,DECLINING,-0.450000,LOW_MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.24/0.25/0.20; top i5 teammate Jordan Mason (RB) 0.47; same team; current competitor continuity=yes,"RB1. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Jonathon Brooks,CAR,101.800000,104.1,67,,63,RB2,,,,,,,UNKNOWN,False,,,,,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,No 2025 NFL rushing-role evidence,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Rachaad White,WAS,109.100000,118.45,61,,63,RB2,0.287879,0.312500,0.409091,0.101399,0.500000,,TB,False,0.045455,0.045455,1.000000,2.294118,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.29/0.31/0.41; top i5 teammate Sean Tucker (RB) 0.50; team/system changed; current competitor continuity=no/unknown,"RB2. Hamstring; Questionable for Week 1 at Philadelphia; CBS updated Wed, Aug 19; NFFC Return Date 8/28/2026 is non-publication metadata. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Kyle Monangai,CHI,110.800000,96,65,65,63,RB2,0.387755,0.388889,0.428571,,0.500000,0.500000,CHI,True,0.071429,0.000000,1.000000,2.764706,NEW_ROLE,,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.39/0.39/0.43; top i5 teammate D'Andre Swift (RB) 0.50; same team; current competitor continuity=yes,"RB2. Knee; Questionable for Week 1 at Carolina; CBS updated Mon, Aug 17; NFFC Return Date 9/13/2026 is non-publication metadata. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Jacory Croskey-Merritt,WAS,117.300000,115,73,,80,RB1,0.340426,0.375000,0.351351,,0.378378,,JAX,False,0.189189,0.027027,1.000000,2.294118,PROJECTED_RELIEF,0.378378,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.34/0.38/0.35; top i5 teammate Chris Rodriguez Jr. (RB) 0.38; same team; current competitor continuity=no/unknown,"RB1. Undisclosed; Questionable for Week 1 at Philadelphia; CBS updated Sat, Aug 22; NFFC Return Date 8/28/2026 is non-publication metadata. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Jordan Mason,MIN,119.300000,119.4,68,,63,RB2,0.500000,0.375000,0.466667,0.156322,0.200000,0.200000,MIN,True,0.066667,0.000000,1.000000,1.941176,RISING,0.156322,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.50/0.38/0.47; top i5 teammate Aaron Jones (RB) 0.20; same team; current competitor continuity=yes,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Blake Corum,LAR,120.200000,103.5,77,,63,RB2,0.313953,0.313725,0.406250,0.227679,0.562500,0.562500,LAR,True,0.031250,0.000000,1.000000,3.705882,RISING,0.227679,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.31/0.31/0.41; top i5 teammate Kyren Williams (RB) 0.56; same team; current competitor continuity=yes,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Tyjae Spears,TEN,131.500000,149.3,59,,63,RB2,0.238095,0.192308,0.181818,-0.181818,0.363636,0.363636,TEN,True,0.090909,0.181818,1.000000,1.411765,DECLINING,-0.181818,LOW_MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.24/0.19/0.18; top i5 teammate Tony Pollard (RB) 0.36; same team; current competitor continuity=yes,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Zach Charbonnet,SEA,135.700000,138.75,73,,80,RB1,0.541667,0.695652,0.678571,0.214286,0.285714,,KC,False,0.000000,0.035714,1.000000,2.588235,PROJECTED_RELIEF,0.285714,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.54/0.70/0.68; top i5 teammate Kenneth Walker III (RB) 0.29; same team; current competitor continuity=no/unknown,"RB1. Knee - ACL; Physically Unable to Perform. Expected Return - Week 1; CBS updated Thu, Jul 23; NFFC Return Date 9/9/2026 is non-publication metadata. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Woody Marks,HOU,142.900000,155.65,61,,63,RB2,0.434211,0.416667,0.360000,,0.240000,,UNKNOWN,False,0.160000,0.000000,1.000000,1.941176,PROJECTED_RELIEF,0.240000,MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.43/0.42/0.36; top i5 teammate Nick Chubb (RB) 0.24; same team; current competitor continuity=no/unknown,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Alvin Kamara,NO,143.100000,151.5,58,,63,RB2,0.234375,0.187500,0.125000,-0.522059,0.562500,0.562500,NO,True,0.562500,0.000000,1.000000,1.647059,DECLINING,-0.522059,LOW_MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.23/0.19/0.12; top i5 teammate Tyler Shough (QB) 0.31; same team; current competitor continuity=yes,"RB2. Knee - MCL; Questionable for Week 1 at Detroit; CBS updated Wed, Aug 19; NFFC Return Date 9/13/2026 is non-publication metadata. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Jordan James,SF,144.200000,144.2,53,,30,RB_RESERVE,,,,,,,UNKNOWN,False,,,,,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,No 2025 NFL rushing-role evidence,"RB_RESERVE. Ribs; Questionable for Week 1 at L.A. Rams; CBS updated Fri, Aug 21; NFFC Return Date 8/27/2026 is non-publication metadata. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Emari Demercado,,144.400000,,,,,,0.096154,0.111111,0.000000,0.000000,0.400000,,UNKNOWN,False,0.200000,0.050000,1.000000,2.235294,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.10/0.11/0.00; top i5 teammate Bam Knight (RB) 0.40; team/system changed; current competitor continuity=no/unknown,
Tyrone Tracy Jr.,NYG,151.100000,156,66,,63,RB2,0.214286,0.115385,0.064516,-0.213262,0.322581,0.322581,NYG,True,0.290323,0.000000,1.000000,2.529412,DECLINING,-0.213262,LOW_MEDIUM,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.21/0.12/0.06; top i5 teammate Devin Singletary (RB) 0.32; same team; current competitor continuity=yes,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Tyler Allgeier,ARI,154.800000,150.6,61,,63,RB2,0.444444,0.463415,0.416667,0.157407,0.458333,,ATL,False,0.125000,0.000000,1.000000,2.117647,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.44/0.46/0.42; top i5 teammate Bijan Robinson (RB) 0.46; team/system changed; current competitor continuity=no/unknown,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Chris Rodriguez Jr.,JAX,155.700000,150.6,69,,63,RB2,0.351064,0.392857,0.378378,0.317772,0.351351,,WAS,False,0.189189,0.027027,1.000000,2.294118,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.35/0.39/0.38; top i5 teammate Jacory Croskey-Merritt (RB) 0.35; team/system changed; current competitor continuity=no/unknown,"RB2. No current injury flag found in the public CBS listing at retrieval. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
Isiah Pacheco,DET,155.900000,171.4,62,,63,RB2,0.227273,0.166667,0.000000,-0.107143,0.714286,,KC,False,0.095238,0.142857,1.000000,2.235294,SYSTEM_CHANGED,,LOW,No independently verified 2026 role report; prior-season evidence only.,2025 retrospective all-rusher shares i20/i10/i5=0.23/0.17/0.00; top i5 teammate Kareem Hunt (RB) 0.71; team/system changed; current competitor continuity=no/unknown,"RB2. Knee - MCL; Questionable for Week 1 vs. New Orleans; CBS updated Mon, Aug 10; NFFC Return Date 9/13/2026 is non-publication metadata. Role, offense-context, and competition scores are retained unless the availability change required a documented situation adjustment."
